mainheadword,mainheadword_lang,definitionorgloss,definitionorgloss_lang,partofspeech,semanticdomain,audio
Afta,hub,Afta,es,sus,"Condiciones médicas y
                                    enfermedades",
Aishrinñukaitam,hub,¿Tienes esposo?,es,f.int.,"Preguntas dirigidas al
                                    paciente",AudioVisual/6.wav
Ajaprukmesha waittsaumek,hub,¿Te ha chocado el embarazo?,es,f.int.,"Motivo
                                    de consulta",
Akamakumek,hub,¿Te has cortado?,es,f.int.,"Motivo de
                                    consulta",AudioVisual/14_1.wav
Ame,hub,Tú,es,pro,"Términos de
                                    parentesco",
Ampi umarumek,hub,¿Has tomado algún medicamento?,es,f.int.,"Preguntas de
                                    diagnóstico",AudioVisual/5_2.wav
Ampikratin aara sukartamu,hub,Receta (médica),es,f.n.,"Tratamientos y
                                    procedimientos",
Ampit,hub,Curar,es,v,"Tratamientos y
                                    procedimientos",
Ampuj,hub,Intestino,es,sus,"Partes del
                                    cuerpo",
Anentai,hub,Corazón,es,sus,"Partes del
                                    cuerpo",
Anentaimin antuktatjai,hub,Voy a escuchar tu corazón,es,f.imp.,"Aparato
                                    cardiovascular",AudioVisual/8_4.wav
Apa¹,hub,Papá,es,sus,"Términos de
                                    parentesco",
Apach,hub,Abuelo,es,sus,"Términos de
                                    parentesco",
Arak,hub,Planta,es,sus,"Instrumentos y equipamiento
                                    médico",
Aujmattsatsa wakeramu au asamtai                     iniastatjame,hub,Te voy a hacer algunas preguntas,es,f.imp.,"Preguntas dirigidas al
                                    paciente",AudioVisual/1.wav
Ayamat,hub,Descansar,es,v,"Tratamientos y
                                    procedimientos",
Ayammau,hub,Descanso,es,sus,"Tratamientos y
                                    procedimientos",
Cepillo,hub,Cepillo,es,sus,"Instrumentos y equipamiento
                                    médico",
Cepillojai yukunmat,hub,Cepillarse,es,v.f.,"Tratamientos y
                                    procedimientos",
Cepillojai yukunmita,hub,Cepíllate los dientes,es,f.imp.,Odontoestomatológico,AudioVisual/6_8.wav
Consultorio,hub,Consultorio,es,sus,"Instrumentos y equipamiento
                                    médico",
Cuarto,hub,Cuarto,es,sus,"Instrumentos y equipamiento
                                    médico",
Dengue,hub,Dengue,es,sus,"Condiciones médicas y
                                    enfermedades",
Diabetes,hub,Diabetes,es,sus,"Condiciones médicas y
                                    enfermedades",
Difteria,hub,Difteria,es,sus,"Condiciones médicas y
                                    enfermedades",
Doctor,hub,"Doctor, a",es,sus,"Personal médico y
                                    paciente",
Ejamtinkaitam. Urutam nantu achika                     weam,hub,¿Estás embarazada? ¿de cuántos meses?,es,f.int.,"Aparato
                                    urogenital",AudioVisual/9_5.wav
Ekemat,hub,Sentarse,es,v,"Indicaciones para el examen
                                    físico",
Ekemsata,hub,Siéntate,es,f.imp.,"Indicaciones para el examen
                                    físico",
Enentai senchi peetuk nekapeam,hub,¿Sientes que tu corazón late muy rápido?,es,f.int.,"Aparato
                                    cardiovascular",AudioVisual/3_4.wav
Enfermería,hub,Enfermería,es,sus,"Instrumentos y equipamiento
                                    médico",
Enfermero,hub,"Enfermero, ra",es,sus,"Personal médico y
                                    paciente",
Entsa,hub,Aguado,es,adj,"Fluidos corporales y
                                    características visibles",
Esaimu,hub,Mordedura,es,sus,"Condiciones médicas y
                                    enfermedades",
Esat,hub,Morder,es,v,"Condiciones médicas y
                                    enfermedades",
Férula de yeso,hub,Yeso,es,sus,"Instrumentos y equipamiento
                                    médico",
Hepatitis,hub,Hepatitis,es,sus,"Condiciones médicas y
                                    enfermedades",
Hija¹,hub,Heces,es,sus,"Fluidos corporales y
                                    características visibles",
Hija²,hub,Diarrea,es,sus,"Fluidos
                                    corporales y características
                                    visibles",
Hijarmat,hub,Dietar,es,v,"Tratamientos y
                                    procedimientos",
Hospital,hub,Hospital,es,sus,"Instrumentos y equipamiento
                                    médico",
